技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM01116,Prompt工程,提示词设计,人工智能与算法,提示词工程,专业技能/大模型应用,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,提示词设计,JN0595,Prompt工程（提示词工程）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01212,Protel,Protel,机械电子电气制造,PCB设计软件,专业技能/工具软件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,protel,JN0316,Protel（PCB设计软件）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01371,Puppet,Puppet,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,puppet,JN0508,Puppet（软件开发框架与工具）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00073,PyTorch,PyTorch,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,pytorch,JN0356,PyTorch（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00001,Python,Python,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,python,JN0041,Python（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00003,Python,Python开发,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,python开发,JN0041,Python（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00004,Python,Python编程,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,python编程,JN0041,Python（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00002,Python,Python语言,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,python语言,JN0041,Python（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00456,QA,QA,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,qa,JN0006,质量保证（QA）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00457,QA,质量保证,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,质量保证,JN0006,质量保证（QA）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00453,QC,QC,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,qc,JN0001,质量控制（QC）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00454,QC,质检,质量安全生产,质量安全生产,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,质检,JN0001,质量控制（QC）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00455,QC,质量控制,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,质量控制,JN0001,质量控制（QC）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM01439,QC 080000,QC080000,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,qc080000,JN0527,QC 080000（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01446,QCC,QCC,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,qcc,JN0507,QCC（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01447,QCC,品管圈,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,品管圈,JN0507,QCC（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00464,QE,QE,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,qe,JN0008,质量工程（QE）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00465,QE,质量工程师,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,质量工程师,JN0008,质量工程（QE）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM01448,QFD,QFD,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,qfd,JN0601,质量功能展开（QFD）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01449,QFD,质量功能展开,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,质量功能展开,JN0601,质量功能展开（QFD）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01355,QTP,QTP,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,qtp,JN0468,QTP（软件开发框架与工具）,工具软件与技术平台,21.0,软件测试与质量保障,否,1,唯一映射
BM01356,QTP,QuickTest Professional,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,quicktestprofessional,JN0468,QTP（软件开发框架与工具）,工具软件与技术平台,21.0,软件测试与质量保障,否,1,唯一映射
BM01332,Qt,Qt,数字技术,软件开发框架与工具,专业技能/框架与工具,context,中,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,qt,JN0291,Qt（软件开发框架与工具）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01100,RAG,RAG,人工智能与算法,检索增强生成,专业技能/大模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rag,JN0603,检索增强生成（RAG）,具体专业技能,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01103,RAG,Retrieval Augmented Generation,人工智能与算法,检索增强生成,专业技能/大模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,retrievalaugmentedgeneration,JN0603,检索增强生成（RAG）,具体专业技能,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01102,RAG,Retrieval-Augmented Generation,人工智能与算法,检索增强生成,专业技能/大模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,retrieval-augmentedgeneration,JN0603,检索增强生成（RAG）,具体专业技能,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01101,RAG,检索增强生成,人工智能与算法,检索增强生成,专业技能/大模型工程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,检索增强生成,JN0603,检索增强生成（RAG）,具体专业技能,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01353,RESTful API,RESTful,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,restful,JN0313,RESTful API（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01354,RESTful API,RESTful API,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,restfulapi,JN0313,RESTful API（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01288,RPC,RPC,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rpc,JN0394,RPC（网络协议与运维）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01139,RS-232,RS-232,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rs-232,JN0456,RS-232（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01138,RS-232,RS232,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rs232,JN0456,RS-232（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01141,RS-485,RS-485,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rs-485,JN0449,RS-485（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01140,RS-485,RS485,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rs485,JN0449,RS-485（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01403,RTOS,RTOS,机械电子电气制造,嵌入式与硬件技术,专业技能/硬件平台与接口,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rtos,JN0370,RTOS（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01404,RTOS,实时操作系统,机械电子电气制造,嵌入式与硬件技术,专业技能/硬件平台与接口,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,实时操作系统,JN0370,RTOS（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01287,RTSP,RTSP,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rtsp,JN0506,RTSP（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01163,RabbitMQ,RabbitMQ,数字技术,消息队列,专业技能/中间件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rabbitmq,JN0295,RabbitMQ（消息队列）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM00052,React,React,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,react,JN0130,React（开发框架）,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM00053,React,React.js,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,react.js,JN0130,React（开发框架）,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM01364,React,ReactJS,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,reactjs,JN0130,React（开发框架）,工具软件与技术平台,10.0,Web前端开发,否,1,唯一映射
BM00086,Redis,Redis,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,redis,JN0067,Redis（数据库与数据工程）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01472,Rhino,Rhino,机械电子电气制造,工程设计仿真与检测软件,专业技能/工具软件,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rhino,JN0535,Rhino（工程设计仿真与检测软件）,工具软件与技术平台,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01473,Rhino,犀牛软件,机械电子电气制造,工程设计仿真与检测软件,专业技能/工具软件,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,犀牛软件,JN0535,Rhino（工程设计仿真与检测软件）,工具软件与技术平台,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01342,RocketMQ,RocketMQ,数字技术,软件开发框架与工具,专业技能/框架与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,rocketmq,JN0455,RocketMQ（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01177,Ruby,Ruby,数字技术,编程语言,专业技能/编程语言,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ruby,JN0364,Ruby（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM01178,Ruby,Ruby语言,数字技术,编程语言,专业技能/编程语言,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ruby语言,JN0364,Ruby（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,1,唯一映射
BM00038,Rust,Rust,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,rust,JN0633,Rust（编程语言）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM00025,R语言,R,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,r,JN0233,R语言（编程语言）,工具软件与技术平台,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00024,R语言,R语言,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,r语言,JN0233,R语言（编程语言）,工具软件与技术平台,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00026,R语言,R软件,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,r软件,JN0233,R语言（编程语言）,工具软件与技术平台,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00213,SAP,SAP,办公软件与通用数字工具,办公软件与通用数字工具,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sap,JN0085,SAP（办公软件与通用数字工具）,方法、标准与流程,4.0,供应链与物流管理,否,1,唯一映射
BM00208,SAS,SAS,办公软件与通用数字工具,办公软件与通用数字工具,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sas,JN0312,SAS（办公软件与通用数字工具）,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01300,SCADA,SCADA,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,scada,JN0481,数据采集与监控系统（SCADA）,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01301,SCADA,数据采集与监控系统,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,数据采集与监控系统,JN0481,数据采集与监控系统（SCADA）,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM00344,SEO,SEO,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,seo,JN0294,搜索引擎优化（SEO）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01292,SIP协议,SIP协议,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sip协议,JN0615,SIP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01411,SMT,SMT,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,smt,JN0240,表面贴装技术（SMT）,具体专业技能,6.0,质量管理与持续改进,否,1,唯一映射
BM01412,SMT,表面贴装技术,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,表面贴装技术,JN0240,表面贴装技术（SMT）,具体专业技能,6.0,质量管理与持续改进,否,1,唯一映射
BM01165,SOA,SOA,数字技术,软件架构,专业知识/架构方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,soa,JN0714,SOA（软件架构）,专业知识与行业经验,3.0,Java后端开发与中间件,否,1,唯一映射
BM01166,SOA,面向服务架构,数字技术,软件架构,专业知识/架构方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,面向服务架构,JN0714,SOA（软件架构）,专业知识与行业经验,3.0,Java后端开发与中间件,否,1,唯一映射
BM01444,SOP,SOP,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sop,JN0119,标准作业程序（SOP）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01445,SOP,标准作业程序,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,标准作业程序,JN0119,标准作业程序（SOP）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00466,SPC,SPC,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,spc,JN0187,统计过程控制（SPC）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00467,SPC,统计过程控制,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,统计过程控制,JN0187,统计过程控制（SPC）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01123,SPI总线,SPI,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,spi,JN0281,SPI总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01124,SPI总线,SPI总线,数字技术,嵌入式通信接口,专业技能/通信协议,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,spi总线,JN0281,SPI总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01767,SPI锡膏检测,SPI锡膏检测,,,,,,标准技能名称,,spi锡膏检测,JN0591,SPI锡膏检测（SMT检测）,工具软件与技术平台,6.0,质量管理与持续改进,否,1,唯一映射
BM00206,SPSS,SPSS,办公软件与通用数字工具,办公软件与通用数字工具,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,spss,JN0335,SPSS（办公软件与通用数字工具）,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00462,SQE,SQE,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sqe,JN0011,供应商质量工程（SQE）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00463,SQE,供应商质量,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,供应商质量,JN0011,供应商质量工程（SQE）,职业职能与业务活动,6.0,质量管理与持续改进,否,1,唯一映射
BM00039,SQL,SQL,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sql,JN0038,结构化查询语言（SQL）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM00041,SQL,SQL查询,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sql查询,JN0038,结构化查询语言（SQL）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM00040,SQL,SQL语句,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sql语句,JN0038,结构化查询语言（SQL）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM00082,SQL Server,SQL Server,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sqlserver,JN0071,微软关系型数据库（SQL Server）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01312,SQLite,SQLite,数字技术,数据库与大数据平台,专业技能/平台与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sqlite,JN0432,SQLite（数据库与大数据平台）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01306,SQLmap,SQLmap,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sqlmap,JN0599,SQLmap（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,否,1,唯一映射
BM01425,SRM系统,SRM,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,srm,JN0451,SRM系统（工业自动化与制造系统）,具体专业技能,4.0,供应链与物流管理,否,1,唯一映射
BM01752,SRM系统,SRM系统,,,,,,标准技能名称,,srm系统,JN0451,SRM系统（工业自动化与制造系统）,具体专业技能,4.0,供应链与物流管理,否,1,唯一映射
BM01426,SRM系统,供应商关系管理系统,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,供应商关系管理系统,JN0451,SRM系统（工业自动化与制造系统）,具体专业技能,4.0,供应链与物流管理,否,1,唯一映射
BM01286,SSH,SSH,数字技术,网络协议与运维,专业技能/协议与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ssh,JN0296,SSH（网络协议与运维）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
BM01640,STK,STK,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,stk,JN0659,STK（明确工具知识流程与资格）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01641,STK,Satellite Tool Kit,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,satellitetoolkit,JN0659,STK（明确工具知识流程与资格）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01146,STM32,STM32,数字技术,嵌入式开发,专业技能/硬件平台,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,stm32,JN0361,STM32（嵌入式开发）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01147,STM32,STM32单片机,数字技术,嵌入式开发,专业技能/硬件平台,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,stm32单片机,JN0361,STM32（嵌入式开发）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01000,SVN,SVN,数字技术,版本控制,专业技能/工具软件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,svn,JN0177,SVN（版本控制）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM01001,SVN,Subversion,数字技术,版本控制,专业技能/工具软件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,subversion,JN0177,SVN（版本控制）,工具软件与技术平台,7.0,网络通信与软件开发基础,否,1,唯一映射
BM00028,Scala,Scala,数字技术,编程语言,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,scala,JN0317,Scala（编程语言）,工具软件与技术平台,19.0,大数据工程与数据仓库,否,1,唯一映射
BM00074,Scikit-learn,Scikit-learn,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,scikit-learn,JN0565,Scikit-learn（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00075,Scikit-learn,sklearn,数字技术,开发框架,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sklearn,JN0565,Scikit-learn（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,否,1,唯一映射
BM01169,Selenium,Selenium,数字技术,软件测试工具,专业技能/工具软件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,selenium,JN0343,Selenium（软件测试工具）,工具软件与技术平台,21.0,软件测试与质量保障,否,1,唯一映射
BM01154,Servlet,Servlet,数字技术,Java Web开发,专业技能/编程技术,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,servlet,JN0274,Servlet（Java Web开发）,工具软件与技术平台,3.0,Java后端开发与中间件,否,1,唯一映射
